Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.6250	 	 	 	 	-0.021711
 0.6500	 0.008652	-0.014348	 0.001601	 0.006121	-0.019357
 0.6750	 	 	 	 	-0.005588
 0.7000	 0.005630	-0.103634	 0.001673	-0.002818	 0.016450
 0.7250	 	 	 	 	 0.052540
 0.7500	-0.001099	-0.158243	 0.001323	-0.010751	 0.090987
 0.7750	 	 	 	 	 0.140767
 0.8000	-0.008370	-0.123903	 0.000651	-0.016032	 0.182011
 0.8250	 	 	 	 	 0.226099
 0.8500	-0.011198	 0.016440	-0.000225	-0.019397	 0.251128
 0.8750	 	 	 	 	 0.259253
 0.9000	-0.005223	 0.219285	-0.001213	-0.020942	 0.249579
 0.9250	 	 	 	 	 0.220539
 0.9500	 0.010260	 0.387627	-0.002271	-0.022275	 0.190217
 0.9750	 	 	 	 	 0.120137
 1.0000	 0.032766	 0.487091	-0.003394	-0.023280	 0.091140


 -------- Mode No.   7  (freq = 0.92544E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000049
 0.0500	-0.000099	-0.003849	 0.000493	 0.019232	-0.000098
 0.0750	 	 	 	 	-0.000190
 0.1000	-0.000388	-0.007735	 0.001963	 0.039516	-0.000279
 0.1250	 	 	 	 	-0.000458
 0.1500	-0.000875	-0.011789	 0.004448	 0.059898	-0.000625
 0.1750	 	 	 	 	-0.000825
 0.2000	-0.001499	-0.013420	 0.007592	 0.066676	-0.000987
 0.2250	 	 	 	 	-0.001563
 0.2500	-0.002151	-0.012810	 0.010728	 0.059442	-0.002067
 0.2750	 	 	 	 	-0.003074
 0.3000	-0.002696	-0.009062	 0.013126	 0.036891	-0.004242
 0.3250	 	 	 	 	-0.005869
 0.3500	-0.002983	-0.002349	 0.014115	 0.002592	-0.007979
 0.3750	 	 	 	 	-0.010998
 0.4000	-0.002878	 0.006771	 0.013244	-0.038246	-0.014790
 0.4250	 	 	 	 	-0.019838
 0.4500	-0.002279	 0.017581	 0.010324	-0.080161	-0.025686
 0.4750	 	 	 	 	-0.032988
 0.5000	-0.001136	 0.028475	 0.005436	-0.117639	-0.040713
 0.5250	 	 	 	 	-0.049882
 0.5500	 0.000458	 0.035346	-0.000980	-0.141869	-0.058493
 0.5750	 	 	 	 	-0.068058
 0.6000	 0.002155	 0.032157	-0.008121	-0.146518	-0.075362
 0.6250	 	 	 	 	-0.081400
 0.6500	 0.003288	 0.012546	-0.014789	-0.122203	-0.083236
 0.6750	 	 	 	 	-0.080036
 0.7000	 0.002973	-0.024833	-0.019404	-0.063307	-0.071841
 0.7250	 	 	 	 	-0.055899
 0.7500	 0.000830	-0.058224	-0.020263	 0.029410	-0.036989
 0.7750	 	 	 	 	-0.010238
 0.8000	-0.002227	-0.059973	-0.015768	 0.152095	 0.013992
 0.8250	 	 	 	 	 0.042994
 0.8500	-0.004216	-0.016349	-0.004607	 0.296737	 0.062853
 0.8750	 	 	 	 	 0.075333
 0.9000	-0.003088	 0.060475	 0.012882	 0.407786	 0.077380
 0.9250	 	 	 	 	 0.070130
 0.9500	 0.001794	 0.128925	 0.034684	 0.472523	 0.059379
 0.9750	 	 	 	 	 0.030835
 1.0000	 0.009603	 0.171095	 0.058915	 0.504669	 0.018445


 -------- Mode No.   8  (freq = 0.11616E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000367
 0.0500	-0.000070	-0.002694	-0.000010	-0.000370	 0.000731
 0.0750	 	 	 	 	 0.001410
 0.1000	-0.000294	-0.006174	-0.000042	-0.000924	 0.002074
 0.1250	 	 	 	 	 0.003400
 0.1500	-0.000680	-0.009130	-0.000101	-0.001376	 0.004642
 0.1750	 	 	 	 	 0.006148
 0.2000	-0.001142	-0.009306	-0.000170	-0.001369	 0.007384
 0.2250	 	 	 	 	 0.011548
 0.2500	-0.001518	-0.005562	-0.000222	-0.000687	 0.014170
 0.2750	 	 	 	 	 0.016031
 0.3000	-0.001619	 0.001605	-0.000227	 0.000493	 0.014575
 0.3250	 	 	 	 	 0.009432
 0.3500	-0.001332	 0.009891	-0.000171	 0.001747	 0.001224
 0.3750	 	 	 	 	-0.010554
 0.4000	-0.000667	 0.016521	-0.000060	 0.002629	-0.024004
 0.4250	 	 	 	 	-0.039491
 0.4500	 0.000209	 0.018084	 0.000074	 0.002685	-0.054438
 0.4750	 	 	 	 	-0.069486
 0.5000	 0.000943	 0.010720	 0.000181	 0.001542	-0.081835
 0.5250	 	 	 	 	-0.092541
 0.5500	 0.001039	-0.007180	 0.000201	-0.000717	-0.099123
 0.5750	 	 	 	 	-0.102602
 0.6000	 0.000082	-0.030335	 0.000098	-0.003273	-0.102165
 0.6250	 	 	 	 	-0.098332
 0.6500	-0.001834	-0.043862	-0.000107	-0.004683	-0.093776
 0.6750	 	 	 	 	-0.089748
 0.7000	-0.003698	-0.027239	-0.000319	-0.003623	-0.090278
 0.7250	 	 	 	 	-0.098866
 0.7500	-0.003894	 0.019706	-0.000421	-0.000510	-0.115410
 0.7750	 	 	 	 	-0.146769
 0.8000	-0.001800	 0.058920	-0.000360	 0.002712	-0.182304
 0.8250	 	 	 	 	-0.234415
 0.8500	 0.001033	 0.046269	-0.000166	 0.004849	-0.278466
 0.8750	 	 	 	 	-0.317031
 0.9000	 0.001478	-0.031811	 0.000091	 0.005536	-0.337676
 0.9250	 	 	 	 	-0.345496
 0.9500	-0.002631	-0.125022	 0.000372	 0.005956	-0.340073
 0.9750	 	 	 	 	-0.311114
 1.0000	-0.011045	-0.189535	 0.000677	 0.006356	-0.296403


 -------- Mode No.   9  (freq = 0.12941E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000125
 0.0500	-0.000002	-0.000059	 0.000000	 0.000002	 0.000250
 0.0750	 	 	 	 	 0.000482
 0.1000	-0.000006	-0.000084	 0.000000	 0.000009	 0.000711
 0.1250	 	 	 	 	 0.001178
 0.1500	-0.000007	 0.000028	 0.000001	 0.000036	 0.001636
 0.1750	 	 	 	 	 0.002242
 0.2000	 0.000001	 0.000335	 0.000004	 0.000089	 0.002828
 0.2250	 	 	 	 	 0.005374
 0.2500	 0.000033	 0.001022	 0.000011	 0.000194	 0.007821
 0.2750	 	 	 	 	 0.012379
 0.3000	 0.000107	 0.001990	 0.000024	 0.000322	 0.016662
 0.3250	 	 	 	 	 0.021078
 0.3500	 0.000230	 0.003041	 0.000043	 0.000436	 0.025157
 0.3750	 	 	 	 	 0.029358
 0.4000	 0.000402	 0.003913	 0.000066	 0.000494	 0.033313
 0.4250	 	 	 	 	 0.037535
 0.4500	 0.000605	 0.004257	 0.000089	 0.000445	 0.041774
 0.4750	 	 	 	 	 0.046730
 0.5000	 0.000802	 0.003680	 0.000106	 0.000248	 0.052025
 0.5250	 	 	 	 	 0.058768
 0.5500	 0.000944	 0.002111	 0.000111	-0.000071	 0.065999
 0.5750	 	 	 	 	 0.075799
 0.6000	 0.000999	 0.000348	 0.000098	-0.000408	 0.085907
 0.6250	 	 	 	 	 0.099536
 0.6500	 0.001001	 0.000222	 0.000073	-0.000592	 0.112793
 0.6750	 	 	 	 	 0.129455
 0.7000	 0.001087	 0.003707	 0.000045	-0.000486	 0.144737
 0.7250	 	 	 	 	 0.162698
 0.7500	 0.001410	 0.009177	 0.000029	-0.000205	 0.178479
 0.7750	 	 	 	 	 0.197364
 0.8000	 0.001935	 0.011268	 0.000025	 0.000021	 0.213937
 0.8250	 	 	 	 	 0.235976
 0.8500	 0.002380	 0.005866	 0.000029	 0.000119	 0.255738
 0.8750	 	 	 	 	 0.277368
 0.9000	 0.002378	-0.005736	 0.000035	 0.000124	 0.295829
 0.9250	 	 	 	 	 0.317416
